বহন অন	Bahana ana
পৃথক্	Pr̥thak
কোথাও	Kōthā'ō
সকল অবস্থাতেই	Sakala abasthātē'i
যে কোন সময়	Yē kōna samaẏa
কিছু	Kichu
কেউ	Kē'u
anyplace	Anyplace
আর	Āra
যে কোন উপায়ে	Yē kōna upāẏē
কেহ	Kēha
কোন	Kōna
জোরে	Jōrē
উদ্বিগ্ন	Udbigna
উদ্বেগ	Udbēga
নেহাই	Nēhā'i
মলদ্বার	Maladbāra
বিপরীতার্থক শব্দ	Biparītārthaka śabda
হরিণের সশাখ শৃঙ্গ	Hariṇēra saśākha śr̥ṅga
antitrust	Antitrust
বৈপরীত্য	Baiparītya
অসামাজিক	Asāmājika
বীজবারক	Bījabāraka
ইহুদিবিদ্বেষ	Ihudibidbēṣa
বিরোধী সেমিটিক	Birōdhī sēmiṭika
অনাদিকাল	Anādikāla
এন্টিকের	Ēnṭikēra
অপ্রচলিত	Apracalita
antiperspirant	Antiperspirant
বিদ্বেষ	Bidbēṣa
antihistamine	Antihistamine
জমাটবিরোধী পদার্থ	Jamāṭabirōdhī padārtha
প্রতিষেধক	Pratiṣēdhaka
রঙ্গভঙ্গ	Raṅgabhaṅga
ভাবাবরোহ	Bhābābarōha
anticlimactic	Anticlimactic
প্রতীক্ষা	Pratīkṣā
কহা	Kahā
অ্যান্টিবডি	Ayānṭibaḍi
জীবাণু-প্রতিরোধী	Jībāṇu-pratirōdhī
নৃবিদ্যা	Nr̥bidyā
নৃবেজ্ঞানী	Nr̥bējñānī
নৃতাত্ত্বিক	Nr̥tāttbika
সংহিতা	Sanhitā
উইঢিবি	U'iḍhibi
স্তব	Staba
এন্টেনা	Ēnṭēnā
শুঙ্গ	Śuṅga
হরিণবিশেষ	Hariṇabiśēṣa
antebellum অফ	Antebellum apha
পূর্ব	Pūrba
এন্টার্কটিকা	Ēnṭārkaṭikā
দখিনা	Dakhinā
প্রতিকূলতা করা	Pratikūlatā karā
antagonistically	Antagonistically
পরস্পরবিরোধী	Parasparabirōdhī
প্রতিদ্বন্দ্বী	Pratidbandbī
শত্রুতা	Śatrutā
অম্লনাশক	Amlanāśaka
পিপীলিকা	Pipīlikā
উত্তর মেশিন	Uttara mēśina
দায়ী	Dāẏī
উত্তর	Uttara
অন্য	An'ya
অনাগ্রহী	Anāgrahī
ক্ষুধাহীনতা	Kṣudhāhīnatā
বেনামে	Bēnāmē
নামবিহীন	Nāmabihīna
অপ্রকাশিতনামা অবস্থা	Aprakāśitanāmā abasthā
ব্যতিক্রমী	Byatikramī
লেপা	Lēpā
রদ	Rada
রদ করা	Rada karā
বার্ষিক	Bārṣika
সালিয়ানা	Sāliẏānā
বার্ষিক	Bārṣika
বিরক্তিকর	Biraktikara
উত্ত্যক্ত	Uttyakta
বিরক্তি	Birakti
বিরক্ত করা	Birakta karā
ঘোষক	Ghōṣaka
ঘোষণা	Ghōṣaṇā
ছাপানো	Chāpānō
সটীক	Saṭīka
বার্ষিকী	Bārṣikī
নাশ	Nāśa
ধ্বংস করা	Dhbansa karā
আত্মসাৎ	Ātmasāṯ
বর্ধন	Bardhana
কাহিনী	Kāhinī
গোড়ালি	Gōṛāli
শত্রুতা	Śatrutā
অ্যানিমেশন	Ayānimēśana
প্রাণবন্ত	Prāṇabanta
সজীব	Sajība
পশু	Paśu
কৌণিক	Kauṇika
ক্লেশিত	Klēśita
যন্ত্রণা	Yantraṇā
উদ্বেগ	Udbēga
ক্রুদ্ধ	Krud'dha
ক্রুদ্ধ	Krud'dha
অ্যাংলো	Ayānlō
মৎস শিকার	Maṯsa śikāra
বিলাতী	Bilātī
ছিপ দিয়ে মাছ	Chipa diẏē mācha
কোণ	Kōṇa
রাগ	Rāga
জামাল	Jāmāla
দেবদূতোপম	Dēbadūtōpama
দেবদূত	Dēbadūta
নতুনভাবে	Natunabhābē
বেদনাহীন করা	Bēdanāhīna karā
অবেদনিক প্রযোগকারী	Abēdanika prayōgakārī
অবেদনিক	Abēdanika
অ্যানেসথিসিয়াবিদ	Ayānēsathisiẏābida
অবেদন	Abēdana
রক্তহীন	Raktahīna
রক্তাল্পতা	Raktālpatā
গপ্প	Gappa
অকল্পনীয়	Akalpanīẏa
এবং	Ēbaṁ
প্রাচীন	Prācīna
হেরিং-জাতীয় ক্ষুদ্র মত্স্যবিশেষ	Hēriṁ-jātīẏa kṣudra matsyabiśēṣa
anchorwoman	Anchorwoman
Anchorman	Anchorman
নোঙ্গর	Nōṅgara
পূর্বপুরুষগণ	Pūrbapuruṣagaṇa
পৈতৃক	Paitr̥ka
পূর্বপুরুষ	Pūrbapuruṣa
শারীরস্থান	Śārīrasthāna
শারীর	Śārīra
অরাজকতা	Arājakatā
নৈরাজ্যবাদী	Nairājyabādī
বিশ্লেষণ করা	Biślēṣaṇa karā
বিশ্লেষণমূলক	Biślēṣaṇamūlaka
বিশ্লেষক	Biślēṣaka
বিশ্লেষণ	Biślēṣaṇa
বিশ্লেষণ	Biślēṣaṇa
উপমা	Upamā
অনুরূপ	Anurūpa
বেদনানাশক	Bēdanānāśaka
পায়ুসংক্রান্ত	Pāẏusaṅkrānta
এক বাক্যাংশের বর্ণসমূহের স্থানপরিবর্তনদ্বারা ভিন্ন শব্দ গঠন	Ēka bākyānśēra barṇasamūhēra sthānaparibartanadbārā bhinna śabda gaṭhana
anachronistic	Anachronistic
কালবৈষম্য	Kālabaiṣamya
একটি	Ēkaṭi
মজাদার	Majādāra
চিত্তবিনোদন পার্ক	Cittabinōdana pārka
চিত্তবিনোদন	Cittabinōdana
আমোদিত	Āmōdita
আহ্লাদিত করা	Āhlādita karā
amputee	Amputee
অঙ্গচ্ছেদ	Aṅgacchēda
নেত্তয়া	Nēttaẏā
কানায় কানায়	Kānāẏa kānāẏa
প্রশস্ত করা	Praśasta karā
পরিবর্ধক	Paribardhaka
বিকাস	Bikāsa
প্রশস্ত	Praśasta
অ্যামি্পথিয়েটার	Ayāmipathiẏēṭāra
উভচর	Ubhacara
উভচর	Ubhacara
অ্যাম্ফিটামিন	Ayāmphiṭāmina
বিদ্যুত্প্রবাহের একক	Bidyutprabāhēra ēkaka
রহমান	Rahamāna
পরিমাণ	Parimāṇa
নিরাকার	Nirākāra
কামার্ত	Kāmārta
অনৈতিক	Anaitika
মধ্যে	Madhyē
মধ্যে	Madhyē
ক্ষিপ্তবৎ	Kṣiptabaṯ
জীবাণুবিশেষ	Jībāṇubiśēṣa
রাজক্ষমা	Rājakṣamā
স্মৃতিভ্রষ্ট	Smr̥tibhraṣṭa
স্মৃতিবিলোপ	Smr̥tibilōpa
গুলি	Guli
হাইড্রোজেন ত্ত নাইট্রোজেন গ্যাসের মিলনে গ্যাসীয়	Hā'iḍrōjēna tta nā'iṭrōjēna gyāsēra milanē gyāsīẏa
গোলাবারুদ	Gōlābāruda
পথভ্রষ্ট	Pathabhraṣṭa
অন্তরে	Antarē
অভান্তরে	Abhāntarē
আপসে	Āpasē
বন্ধুত্বপূর্ণ	Bandhutbapūrṇa
অমায়িকভাবে	Amāẏikabhābē
বন্ধুভাবাপন্ন	Bandhubhābāpanna
মার্কিনিপনা	Mārkinipanā
আমেরিকান ভারতীয়	Āmērikāna bhāratīẏa
আমেরিকান স্বপ্ন	Āmērikāna sbapna
আমেরিকানা	Āmērikānā
মার্কিন	Mārkina
আমেরিকা	Āmērikā
বিনয়	Binaẏa
ক্ষতিপূরণ	Kṣatipūraṇa
সংশোধন	Sanśōdhana
সংশোধন করা	Sanśōdhana karā
এক্তিয়ারভুক্ত	Ēktiẏārabhukta
তথাস্তু	Tathāstu
উন্নয়ন	Unnaẏana
উন্নত করা	Unnata karā
ত্তৎ পাতা	Ttaṯ pātā
অ্যাম্বুলেন্স	Ayāmbulēnsa
স্বচ্ছন্দগতি	Sbacchandagati
পরস্পরবিরোধী	Parasparabirōdhī
বিরোধ	Birōdha
ambitiously	Ambitiously
উচ্চাকাঙ্ক্ষী	Uccākāṅkṣī
উচ্চাকাঙ্ক্ষা	Uccākāṅkṣā
ambiguously	Ambiguously
দ্ব্যর্থক	Dbyarthaka
অস্পষ্টতা	Aspaṣṭatā
সব্যসাচীর ন্যায় গুণবিশিষ্ট	Sabyasācīra n'yāẏa guṇabiśiṣṭa
ambiance	Ambiance
অ্যাম্বার	Ayāmbāra
রাষ্ট্রদূতসংক্রান্ত	Rāṣṭradūtasaṅkrānta
রাষ্ট্রদূত	Rāṣṭradūta
amazingly	Amazingly
আশ্চর্যজনক	Āścaryajanaka
আশ্চর্য	Āścarya
বিস্মিত	Bismita
স্তম্ভিত করা	Stambhita karā
অপেশাদারী	Apēśādārī
অপেশাদার	Apēśādāra
সমাবেশ করা	Samābēśa karā
মিশ্রণ	Miśraṇa
জোড়া লাগানো	Jōṛā lāgānō
সকাল	Sakāla
am	Am
অপরাহ্ণ	Aparāhṇa
সর্বদা	Sarbadā
প্রাক্তন ছাত্র	Prāktana chātra
প্রাক্তন ছাত্র	Prāktana chātra
alumnae	Alumnae
alumna	Alumna
অ্যালুমিনিয়াম	Ayāluminiẏāma
পরার্থপর	Parārthapara
পরার্থপরতা	Parārthaparatā
পুরাপুরি	Purāpuri
সরু	Saru
উচ্চতা	Uccatā
যদিও	Yadi'ō
অন্যথায়	An'yathāẏa
বিকল্প	Bikalpa
পরিক্রমণ	Parikramaṇa
অথবা	Athabā
একান্তর	Ēkāntara
ঝগড়াঝাঁটি	Jhagaṛājhām̐ṭi
নড়চড়	Naṛacaṛa
পরিবর্তন করা	Paribartana karā
বেদি	Bēdi
এছাড়াও	Ēchāṛā'ō
ঠিক হ্যায়	Ṭhika hyāẏa
ইতিমধ্যে	Itimadhyē
অত্যুচ্চ	Atyucca
বর্ণানুক্রমে	Barṇānukramē
বর্ণানুক্রমিক	Barṇānukramika
বর্ণমালা	Barṇamālā
সশব্দে	Saśabdē
নির্লিপ্ত	Nirlipta
পাশাপাশি	Pāśāpāśi
বরাবর	Barābara
একা	Ēkā
Aloha	Aloha
শূন্যে	Śūn'yē
ভিক্ষা	Bhikṣā
প্রায়	Prāẏa
বাদাম	Bādāma
সর্বশক্তিমান	Sarbaśaktimāna
পাঁজি	Pām̐ji
মাতৃশিক্ষায়তন	Mātr̥śikṣāẏatana
মিত্র	Mitra
ইশারা	Iśārā
মনোমুগ্ধকর	Manōmugdhakara
মোহন	Mōhana
উল্লেখ করা	Ullēkha karā
সব তারকা	Saba tārakā
সমস্ত অধিকার	Samasta adhikāra
খাদ	Khāda
ভাতা	Bhātā
সম্ভবপর	Sambhabapara
অনুমতি	Anumati
সম্পূর্ণ	Sampūrṇa
আবণ্টন	Ābaṇṭana
বাঁটা	Bām̐ṭā
বণ্টন	Baṇṭana
বরাদ্দ	Barādda
সমস্ত -সমেত	Samasta -samēta
নক্র	Nakra
স্বজাতীয়	Sbajātīẏa
জোট	Jōṭa
সরু গলি	Saru gali
হ্রাসকরণ	Hrāsakaraṇa
উপশম করা	Upaśama karā
এলার্জি	Ēlārji
বিরাগসম্পন্ন	Birāgasampanna
অপ্রস্তুতপ্রশংসা	Aprastutapraśansā
অপ্রস্তুতপ্রশংসা দ্বারা বর্ণিত	Aprastutapraśansā dbārā barṇita
আনুগত্য	Ānugatya
যেন	Yēna
কথিত	Kathita
সপক্ষে যুক্তি দেখান	Sapakṣē yukti dēkhāna
অভিযোগ	Abhiyōga
মুক্তি-সংকেত	Mukti-saṅkēta
কমান	Kamāna
বহুতরফা	Bahutaraphā
সমস্ত -আমেরিকান	Samasta -āmērikāna
আল্লাহ	Āllāha
সব	Saba
ক্ষারীয়	Kṣārīẏa
ক্ষার	Kṣāra
জীবিত	Jībita
ভরণপোষণ	Bharaṇapōṣaṇa
একইভাবে	Ēka'ibhābē
শ্রেণীবিন্যাস	Śrēṇībin'yāsa
শ্রেণীবদ্ধ করা	Śrēṇībad'dha karā
নামা	Nāmā
উন্মত্ততা	Unmattatā
স্বভাববহিভুত করা	Sbabhābabahibhuta karā
পরক	Paraka
অপরাধের অনুষ্ঠানকালে অন্যত্র থাকার অজুহাতে রেহাই পাইবার দাবি	Aparādhēra anuṣṭhānakālē an'yatra thākāra ajuhātē rēhā'i pā'ibāra dābi
উপনাম	Upanāma
অ্যালগরিদম	Ayālagaridama
বীজগাণিতিক	Bījagāṇitika
বীজগণিত	Bījagaṇita
শেত্তলাগুলি	Śēttalāguli
ত্রিপত্রোত্পাদী বৃক্ষবিশেষ	Tripatrōtpādī br̥kṣabiśēṣa
সতর্ক	Satarka
বীয়ার	Bīẏāra
alderwoman	Alderwoman
পৌরমুখ্য	Pauramukhya
তাক	Tāka
মদ্যাশক্তি	Madyāśakti
মদ্যপ	Madyapa
এলকোহল	Ēlakōhala
অ্যালবাম	Ayālabāma
ধবলরোগগ্রস্ত প্রাণী	Dhabalarōgagrasta prāṇī
তথাপি	Tathāpi
হায়রে	Hāẏarē
যে ব্যক্তি সামান্য কারণে বিপদ্সঙ্কেত ঘোষণা করে	Yē byakti sāmān'ya kāraṇē bipadsaṅkēta ghōṣaṇā karē
alarmingly	Alarmingly
ভীতিপ্রদ	Bhītiprada
অধীর	Adhīra
এলার্ম ঘড়ি	Ēlārma ghaṛi
বিপদাশঙ্কা	Bipadāśaṅkā
একটি লা মোড	Ēkaṭi lā mōḍa
একটি খাদ্যতালিকা অনুযায়ী	Ēkaṭi khādyatālikā anuyāẏī
সদৃশ	Sadr̥śa
ষদুন্মুক্তভাবে	Ṣadunmuktabhābē
করিডোর	Kariḍōra
বায়বীয়	Bāẏabīẏa
বেতার তরঙ্গ নিয়ন্ত্রণ	Bētāra taraṅga niẏantraṇa
এয়ার ট্রাফিক কন্ট্রোলার	Ēẏāra ṭrāphika kanṭrōlāra
বায়ু সময়	Bāẏu samaẏa
বায়ুরোধী	Bāẏurōdhī
airstrip	Airstrip
আকাশসীমা	Ākāśasīmā
চালিয়াতি	Cāliẏāti
বিমানযোগে আক্রমণ	Bimānayōgē ākramaṇa
বিমানবন্দর	Bimānabandara
বিমান	Bimāna
বিমানবাহিত ডাক	Bimānabāhita ḍāka
বিমান	Bimāna
এয়ারলাইন	Ēẏāralā'ina
বায়ুশূন্য	Bāẏuśūn'ya
বায়ুসেবন	Bāẏusēbana
উড়া উড়া	Uṛā uṛā
বিমানবাহিনী	Bimānabāhinī
বিমানাঙ্গন	Bimānāṅgana
airfare	Airfare
বিমানপোত বহনার্থ জাহাজ	Bimānapōta bahanārtha jāhāja
বিমান	Bimāna
এয়ার কন্ডিশনার	Ēẏāra kanḍiśanāra
বায়ু কন্ডিশনার	Bāẏu kanḍiśanāra
বাতানুকূল	Bātānukūla
বায়ুবাহিত	Bāẏubāhita
বায়ু বেস	Bāẏu bēsa
বায়ু ব্যাগ	Bāẏu byāga
বায়ু	Bāẏu
নয়	Naẏa
অকারণে	Akāraṇē
উদ্দেশ্যহীন	Uddēśyahīna
উদ্দেশ্য	Uddēśya
আময়	Āmaẏa
রোগী	Rōgī
এইডস	Ē'iḍasa
সহায়তাকারী	Sahāẏatākārī
